#GeneID	tax_id	Symbol	Synonyms	chromosome	type_of_gene	description
1	9606	A1BG	A1B|ABG|GAB|HYST2477	19	glycoprotein	alpha-1-B
40	9606	ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	17	sensing	acid
41	9606	ASIC1	ACCN2|ASIC|BNaC2	12	sensing	acid
43	9606	ACHE	ACEE|ARACHE|N-ACHE|YT	7	(Yt	acetylcholinesterase
46	9606	ACLS	-	12	syndrome	acrocallosal
47	9606	ACLY	ACL|ATPCL|CLATP	17	citrate	ATP
48	9606	ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	9	1,	aconitase
49	9606	ACR	-	22	protein-coding	acrosin
50	9606	ACO2	ACONM|ICRD|OCA8	22	2,	aconitase
51	9606	ACOX1	ACOX|PALMCOX|SCOX	17	oxidase	acyl-CoA
52	9606	ACP1	HAAP|LMW-PTP	2	phosphatase	acid
53	9606	ACP2	LAP	11	phosphatase	acid
54	9606	ACP5	SPENCDI|TRAP	19	phosphatase	acid
55	9606	ACPP	5'-NT|ACP-3|ACP3	3	phosphatase,	acid
56	9606	ACRV1	D11S4365|SP-10|SPACA2	11	vesicle	acrosomal
58	9606	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3	1	alpha	actin,
59	9606	ACTA2	AAT6|ACTSA|MYMY5	10	alpha	actin,
60	9606	ACTB	BRWS1|PS1TP5BP1	7	beta	actin,
62	9606	ACTBP2	-	5	beta	actin,
63	9606	ACTBP3	-	18	beta	actin,
64	9606	ACTBP4	-	5	beta	actin,
66	9606	ACTBP6	H8-PSI-BETA-AC3	8	beta	actin,
67	9606	ACTBP7	-	15	beta	actin,
68	9606	ACTBP8	ACTBP2	6	beta	actin,
69	9606	ACTBP9	-	18	beta	actin,
70	9606	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	15	alpha,	actin,
71	9606	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	17	gamma	actin
72	9606	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	2	gamma	actin,
73	9606	ACTG1P1	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	3	gamma	actin
74	9606	ACTG1P2	ACTGP2|ACTL2	Y	gamma	actin
75	9606	ACTG1P3	ACTGP3|dJ545L17.4	20	gamma	actin
78	9606	ACTG1P6	ACTGP6	1	gamma	actin
79	9606	ACTG1P7	ACTGP7	1	gamma	actin
80	9606	ACTG1P8	ACTGP8	1	gamma	actin
81	9606	ACTN4	ACTININ-4|FSGS|FSGS1	19	alpha	actinin,
82	9606	ACTG1P9	ACTGP9	6	gamma	actin
83	9606	ACTG1P10	ACTGP10|ACTL1|ACTP1	X	gamma	actin
86	9606	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	3	6A	actin-like
87	9606	ACTN1	BDPLT15	14	alpha	actinin,
88	9606	ACTN2	CMD1AA|CMH23	1	alpha	actinin,
89	9606	ACTN3	-	11	alpha	actinin,
90	9606	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	2	A	activin
91	9606	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	12	A	activin
92	9606	ACVR2A	ACTRII|ACVR2	2	A	activin
93	9606	ACVR2B	ACTRIIB|ActR-IIB|HTX4	3	A	activin
94	9606	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12	A	activin
95	9606	ACY1	ACY-1|ACY1D|HEL-S-5	3	1	aminoacylase
97	9606	ACYP1	ACYPE	14	1,	acylphosphatase
98	9606	ACYP2	ACYM|ACYP	2	2,	acylphosphatase
100	9606	ADA	-	20	deaminase	adenosine
101	9606	ADAM8	CD156|CD156a|MS2	10	metallopeptidase	ADAM
102	9606	ADAM10	AD10|AD18|CD156c|HsT18717|MADM|RAK|kuz	15	metallopeptidase	ADAM
103	9606	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	1	deaminase,	adenosine
104	9606	ADARB1	ADAR2|DRABA2|DRADA2|RED1	21	deaminase,	adenosine
105	9606	ADARB2	ADAR3|RED2	10	deaminase,	adenosine
106	9606	ADCP1	-	6	deaminase	adenosine
107	9606	ADCY1	AC1|DFNB44	7	cyclase	adenylate
108	9606	ADCY2	AC2|HBAC2	5	cyclase	adenylate
109	9606	ADCY3	AC3	2	cyclase	adenylate
111	9606	ADCY5	AC5|FDFM	3	cyclase	adenylate
112	9606	ADCY6	AC6|LCCS8	12	cyclase	adenylate
113	9606	ADCY7	AC7	16	cyclase	adenylate
114	9606	ADCY8	AC8|ADCY3|HBAC1	8	cyclase	adenylate
115	9606	ADCY9	AC9	16	cyclase	adenylate
116	9606	ADCYAP1	PACAP	18	cyclase	adenylate
117	9606	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	7	cyclase	adenylate
118	9606	ADD1	ADDA	4	1	adducin
119	9606	ADD2	ADDB	2	2	adducin
120	9606	ADD3	ADDL	10	3	adducin
122	9606	ADFN	ALDS	X	syndrome	albinism-deafness
123	9606	PLIN2	ADFP|ADRP	9	2	perilipin
124	9606	ADH1A	ADH1	4	dehydrogenase	alcohol
125	9606	ADH1B	ADH2|HEL-S-117	4	dehydrogenase	alcohol
126	9606	ADH1C	ADH3	4	dehydrogenase	alcohol
127	9606	ADH4	ADH-2|HEL-S-4	4	dehydrogenase	alcohol
128	9606	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR	4	dehydrogenase	alcohol
130	9606	ADH6	ADH-5	4	dehydrogenase	alcohol
131	9606	ADH7	ADH4	4	dehydrogenase	alcohol
132	9606	ADK	AK	10	kinase	adenosine
133	9606	ADM	AM|PAMP	11	protein-coding	adrenomedullin
134	9606	ADORA1	RDC7	1	A1	adenosine
135	9606	ADORA2A	A2aR|ADORA2|RDC8	22	A2a	adenosine
136	9606	ADORA2B	ADORA2	17	A2b	adenosine
137	9606	ADORA2BP1	ADORA2BP	1	A2b	adenosine
140	9606	ADORA3	A3AR	1	A3	adenosine
141	9606	ADPRH	ARH1	3	hydrolase	ADP-ribosylarginine
142	9606	PARP1	ADPRT|ADPRT	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799|HPRD:01435|Vega:OTTHUMG00000037556	poly	1q41-q42
143	9606	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	13	(ADP-ribose)	poly
144	9606	PARP1P1	ADPRTP1|PPOLP1	13	(ADP-ribose)	poly
145	9606	PARP1P2	ADPRTP2|PPOLP2	14	(ADP-ribose)	poly
146	9606	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	20	alpha	adrenoceptor
147	9606	ADRA1B	ADRA1|ALPHA1BAR	5	alpha	adrenoceptor
148	9606	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	8	alpha	adrenoceptor
150	9606	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	10	alpha	adrenoceptor
151	9606	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|alpha-2BAR	2	alpha	adrenoceptor
152	9606	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	4	alpha	adrenoceptor
153	9606	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	10	beta	adrenoceptor
154	9606	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	5	beta	adrenoceptor
155	9606	ADRB3	BETA3AR	8	beta	adrenoceptor
156	9606	ADRBK1	BARK1|BETA-ARK1|GRK2	11	beta,	adrenergic,
157	9606	ADRBK2	BARK2|GRK3	22	beta,	adrenergic,
158	9606	ADSL	AMPS|ASASE|ASL	22	lyase	adenylosuccinate
159	9606	ADSS	ADEH|ADSS	MIM:103060|HGNC:HGNC:292|Ensembl:ENSG00000035687|HPRD:00050|Vega:OTTHUMG00000040102	adenylosuccinate	1q44
160	9606	AP2A1	ADTAA|AP2-ALPHA|CLAPA1	19	protein	adaptor-related
161	9606	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	11	protein	adaptor-related
162	9606	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	22	protein	adaptor-related
163	9606	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	17	protein	adaptor-related
164	9606	AP1G1	ADTG|CLAPG1	16	protein	adaptor-related
165	9606	AEBP1	ACLP	7	binding	AE
166	9606	AES	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	19	enhancer	amino-terminal
167	9606	CRISP1	AEGL1|ARP|CRISP-1|HSCRISP1D|HSCRISP1G|HUMARP	6	secretory	cysteine-rich
169	9606	AF8T	-	3	temperature	AF8
170	9606	AFA	-	-	filiforme	ankyloblepharon
171	9606	AFD1	AFDN	9	dysostosis	acrofacial
172	9606	AFG3L1P	AFG3|AFG3L1	16	AAA	AFG3-like
173	9606	AFM	ALB2|ALBA|ALF	4	protein-coding	afamin
174	9606	AFP	AFPD|FETA|HPAFP	4	protein-coding	alpha-fetoprotein
175	9606	AGA	AGU|ASRG|GA	4	protein-coding	aspartylglucosaminidase
176	9606	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK	15	protein-coding	aggrecan
177	9606	AGER	RAGE	6	glycosylation	advanced
178	9606	AGL	GDE	1	6-glucosidase,	amylo-alpha-1,
179	9606	AGMX2	IMD6|XLA2	X	X-linked	agammaglobulinemia,
181	9606	AGRP	AGRT|ART|ASIP2	16	related	agouti
182	9606	JAG1	AGS|AHD|AWS|CD339|HJ1|JAGL1	20	1	jagged
183	9606	AGT	ANHU|SERPINA8	1	(serpin	angiotensinogen
185	9606	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	3	II	angiotensin
186	9606	AGTR2	AT2|ATGR2|MRX88	X	II	angiotensin
187	9606	APLNR	AGTRL1|APJ|APJR|HG11	11	receptor	apelin
189	9606	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	2	aminotransferase	alanine-glyoxylate
190	9606	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	X	receptor	nuclear
191	9606	AHCY	SAHH|adoHcyase	20	protein-coding	adenosylhomocysteinase
192	9606	AIC	-	X	syndrome	Aicardi
196	9606	AHR	bHLHe76	7	hydrocarbon	aryl
197	9606	AHSG	A2HS|AHS|FETUA|HSGA	3	protein-coding	alpha-2-HS-glycoprotein
199	9606	AIF1	AIF-1|IBA1|IRT-1|IRT1	6	inflammatory	allograft
201	9606	AIH3	-	X	imperfecta	amelogenesis
202	9606	AIM1	CRYBG1|ST4	6	in	absent
203	9606	AK1	HTL-S-58j	9	kinase	adenylate
204	9606	AK2	ADK2|AK	MIM:103020|HGNC:HGNC:362|Ensembl:ENSG00000004455|HPRD:00047|Vega:OTTHUMG00000004131	adenylate	1p34
205	9606	AK4	AK	MIM:103030|HGNC:HGNC:363|Ensembl:ENSG00000162433|HPRD:00048|Vega:OTTHUMG00000009033	adenylate	1p31.3
206	9606	AK4P1	AK3P1	17	kinase	adenylate
207	9606	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14	murine	v-akt
208	9606	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	19	murine	v-akt
210	9606	ALAD	ALADH|PBGS	9	dehydratase	aminolevulinate
211	9606	ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	3	synthase	5'-aminolevulinate
212	9606	ALAS2	ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA	X	synthase	5'-aminolevulinate
213	9606	ALB	ANALBA|FDAH|PRO0883|PRO0903|PRO1341	4	protein-coding	albumin
214	9606	ALCAM	CD166|MEMD	3	leukocyte	activated
215	9606	ABCD1	ABC42|ALD|ALDP|AMN	X	cassette,	ATP-binding
216	9606	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9	dehydrogenase	aldehyde
217	9606	ALDH2	ALDH-E2|ALDHI|ALDM	12	dehydrogenase	aldehyde
218	9606	ALDH3A1	ALDH3|ALDHIII	17	dehydrogenase	aldehyde
219	9606	ALDH1B1	ALDH5|ALDHX	9	dehydrogenase	aldehyde
220	9606	ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	15	dehydrogenase	aldehyde
221	9606	ALDH3B1	ALDH4|ALDH7	11	dehydrogenase	aldehyde
222	9606	ALDH3B2	ALDH8	11	dehydrogenase	aldehyde
223	9606	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH	1	dehydrogenase	aldehyde
224	9606	ALDH3A2	ALDH10|FALDH|SLS	17	dehydrogenase	aldehyde
225	9606	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	12	cassette,	ATP-binding
226	9606	ALDOA	ALDA|GSD12|HEL-S-87p	16	A,	aldolase
228	9606	ALDOAP2	-	10	A,	aldolase
229	9606	ALDOB	ALDB|ALDO2	9	B,	aldolase
230	9606	ALDOC	ALDC	17	C,	aldolase
231	9606	AKR1B1	ADR|ALDR1|ALR2|AR	7	reductase	aldo-keto
236	9606	AKR1B1P2	ALDRP	3	reductase	aldo-keto
238	9606	ALK	CD246|NBLST3	2	lymphoma	anaplastic
239	9606	ALOX12	12-LOX|12S-LOX|LOG12	17	12-lipoxygenase	arachidonate
240	9606	ALOX5	5-LO|5-LOX|5LPG|LOG5	10	5-lipoxygenase	arachidonate
241	9606	ALOX5AP	FLAP	13	5-lipoxygenase-activating	arachidonate
242	9606	ALOX12B	12R-LOX|ARCI2	17	12-lipoxygenase,	arachidonate
243	9606	ALOX12P1	ALOX12P	17	12-lipoxygenase	arachidonate
245	9606	ALOX12P2	ALOX12E	17	12-lipoxygenase	arachidonate
246	9606	ALOX15	12-LOX|15-LOX-1|15LOX-1	17	15-lipoxygenase	arachidonate
247	9606	ALOX15B	15-LOX-2	17	15-lipoxygenase,	arachidonate
248	9606	ALPI	IAP	2	phosphatase,	alkaline
249	9606	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	1	phosphatase,	alkaline
250	9606	ALPP	ALP|PALP|PLAP|PLAP-1	2	phosphatase,	alkaline
251	9606	ALPPL2	ALPG|ALPPL|GCAP	2	phosphatase,	alkaline
253	9606	ALS3	ALS6	18	lateral	amyotrophic
255	9606	ALS5	-	15	lateral	amyotrophic
257	9606	ALX3	FND|FND1	1	homeobox	ALX
258	9606	AMBN	AI1F	4	(enamel	ameloblastin
259	9606	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	9	precursor	alpha-1-microglobulin/bikunin
261	9606	AMCN	AMC|AMC1|AMCN1	5	multiplex	arthrogryposis
262	9606	AMD1	ADOMETDC|AMD|SAMDC	6	decarboxylase	adenosylmethionine
263	9606	AMD1P2	AMD|AMD2|AMDP1|AMDPX|AMDPY	X|Y	Yq12	and
265	9606	AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	X	X-linked	amelogenin,
266	9606	AMELY	AMGL|AMGY	Y	Y-linked	amelogenin,
267	9606	AMFR	GP78|RNF45	16	motility	autocrine
268	9606	AMH	MIF|MIS	19	hormone	anti-Mullerian
269	9606	AMHR2	AMHR|MISR2|MISRII|MRII	12	hormone	anti-Mullerian
270	9606	AMPD1	MAD|MADA|MMDD	1	monophosphate	adenosine
271	9606	AMPD2	PCH9|SPG63	1	monophosphate	adenosine
272	9606	AMPD3	-	11	monophosphate	adenosine
273	9606	AMPH	AMPH1	7	protein-coding	amphiphysin
274	9606	BIN1	AMPH2|AMPHL|SH3P9	2	integrator	bridging
275	9606	AMT	GCE|GCST|GCVT|NKH	3	protein-coding	aminomethyltransferase
276	9606	AMY1A	AMY1	1	alpha	amylase,
277	9606	AMY1B	AMY1	1	alpha	amylase,
278	9606	AMY1C	AMY1	1	alpha	amylase,
279	9606	AMY2A	AMY2|PA	1	alpha	amylase,
280	9606	AMY2B	AMY2|AMY3|HXA	1	alpha	amylase,
281	9606	AMYP1	AMY2P	1	alpha	amylase,
282	9606	ANCR	-	15	syndrome	Angelman
283	9606	ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	14	ribonuclease,	angiogenin,
284	9606	ANGPT1	AGP1|AGPT|ANG1	8	1	angiopoietin
285	9606	ANGPT2	AGPT2|ANG2	8	2	angiopoietin
286	9606	ANK1	ANK|SPH1|SPH2	8	1,	ankyrin
287	9606	ANK2	ANK-2|LQT4|brank-2	4	2,	ankyrin
288	9606	ANK3	ANKYRIN-G|MRT37	10	3,	ankyrin
289	9606	ANOP1	MCOPS4	X	1	anophthalmos
290	9606	ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	15	(membrane)	alanyl
291	9606	SLC25A4	1|AAC1|ANT|ANT	MIM:103220|HGNC:HGNC:10990|Ensembl:ENSG00000151729|HPRD:00058|Vega:OTTHUMG00000134299	solute	4q35
292	9606	SLC25A5	2F1|AAC2|ANT2|T2|T3	X	carrier	solute
293	9606	SLC25A6	2|3|AAC3|ANT|ANT	3|ANT3|ANT3Y	Xp22.32	X|Y
301	9606	ANXA1	ANX1|LPC1	9	A1	annexin
302	9606	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	15	A2	annexin
303	9606	ANXA2P1	ANX2L1|ANX2P1|LPC2A	4	A2	annexin
304	9606	ANXA2P2	ANX2L2|ANX2P2|LPC2B	9	A2	annexin
305	9606	ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	10	A2	annexin
306	9606	ANXA3	ANX3	4	A3	annexin
307	9606	ANXA4	ANX4|HEL-S-274|PIG28|ZAP36	2	A4	annexin
308	9606	ANXA5	ANX5|ENX2|HEL-S-7|PP4|RPRGL3	4	A5	annexin
309	9606	ANXA6	ANX6|CBP68	5	A6	annexin
310	9606	ANXA7	ANX7|SNX|SYNEXIN	10	A7	annexin
311	9606	ANXA11	ANX11|CAP50	10	A11	annexin
312	9606	ANXA13	ANX13|ISA	8	A13	annexin
313	9606	AOAH	-	7	hydrolase	acyloxyacyl
314	9606	AOC2	DAO2|RAO	17	oxidase,	amine
316	9606	AOX1	AO|AOH1	2	oxidase	aldehyde
317	9606	APAF1	APAF-1|CED4	12	peptidase	apoptotic
318	9606	NUDT2	APAH1	9	(nucleoside	nudix
319	9606	APOF	Apo-F|LTIP	12	F	apolipoprotein
320	9606	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	9	beta	amyloid
321	9606	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	15	beta	amyloid
322	9606	APBB1	FE65|MGC:9072|RIR	11	beta	amyloid
323	9606	APBB2	FE65L|FE65L1	4	beta	amyloid
324	9606	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	5	polyposis	adenomatous
325	9606	APCS	HEL-S-92n|PTX2|SAP	1	P	amyloid
326	9606	AIRE	AIRE1|APECED|APS1|APSI|PGA1	21	regulator	autoimmune
327	9606	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	3	hydrolase	acylaminoacyl-peptide
328	9606	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	14	nuclease	APEX
329	9606	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	11	IAP	baculoviral
330	9606	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	11	IAP	baculoviral
331	9606	XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	X	inhibitor	X-linked
332	9606	BIRC5	API4|EPR-1	17	IAP	baculoviral
333	9606	APLP1	APLP	19	beta	amyloid
334	9606	APLP2	APLP-2|APPH|APPL2|CDEBP	11	beta	amyloid
335	9606	APOA1	-	11	A-I	apolipoprotein
336	9606	APOA2	Apo-AII|ApoA-II|apoAII	1	A-II	apolipoprotein
337	9606	APOA4	-	11	A-IV	apolipoprotein
338	9606	APOB	FLDB|LDLCQ4	2	B	apolipoprotein
339	9606	APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR	12	B	apolipoprotein
341	9606	APOC1	Apo-CI|ApoC-I	19	C-I	apolipoprotein
342	9606	APOC1P1	-	19	C-I	apolipoprotein
343	9606	AQP8	AQP-8	16	8	aquaporin
344	9606	APOC2	APO-CII|APOC-II	19	C-II	apolipoprotein
345	9606	APOC3	APOCIII|HALP2	11	C-III	apolipoprotein
346	9606	APOC4	APO-CIV|APOC-IV	19	C-IV	apolipoprotein
347	9606	APOD	-	3	D	apolipoprotein
348	9606	APOE	AD2|APO-E|LDLCQ5|LPG	19	E	apolipoprotein
350	9606	APOH	B2G1|B2GP1|BG	17	H	apolipoprotein
351	9606	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	21	beta	amyloid
353	9606	APRT	AMP|APRTD	16	phosphoribosyltransferase	adenine
354	9606	KLK3	APS|KLK2A1|PSA|hK3	19	peptidase	kallikrein-related
355	9606	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	10	cell	Fas
356	9606	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	1	ligand	Fas
357	9606	SHROOM2	APXL|HSAPXL	X	family	shroom
358	9606	AQP1	AQP-CHIP|CHIP28|CO	7	1	aquaporin
359	9606	AQP2	AQP-CD|WCH-CD	12	2	aquaporin
360	9606	AQP3	AQP-3|GIL	9	3	aquaporin
361	9606	AQP4	HMIWC2|MIWC	18	4	aquaporin
362	9606	AQP5	AQP-5|PPKB	12	5	aquaporin
363	9606	AQP6	AQP2L|KID	12	6,	aquaporin
364	9606	AQP7	AQP7L|AQP9|AQPap|GLYCQTL	9	7	aquaporin
366	9606	AQP9	AQP-9|HsT17287|SSC1	15	9	aquaporin
367	9606	AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	X	receptor	androgen
368	9606	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	16	cassette,	ATP-binding
369	9606	ARAF	A-RAF|ARAF1|PKS2|RAFA1	X	proto-oncogene,	A-Raf
372	9606	ARCN1	COPD	11	1	archain
373	9606	TRIM23	ARD1|ARFD1|RNF46	5	motif	tripartite
374	9606	AREG	AR|AREGB|CRDGF|SDGF	4	protein-coding	amphiregulin
375	9606	ARF1	-	1	factor	ADP-ribosylation
377	9606	ARF3	-	12	factor	ADP-ribosylation
378	9606	ARF4	ARF2	3	factor	ADP-ribosylation
379	9606	ARL4D	ARF4L|ARL6	17	factor-like	ADP-ribosylation
380	9606	ARF4P1	ARF4P	9	factor	ADP-ribosylation
381	9606	ARF5	-	7	factor	ADP-ribosylation
382	9606	ARF6	-	14	factor	ADP-ribosylation
383	9606	ARG1	-	6	1	arginase
384	9606	ARG2	-	14	2	arginase
387	9606	RHOA	ARH12|ARHA|RHO12|RHOH12	3	homolog	ras
388	9606	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	2	homolog	ras
389	9606	RHOC	ARH9|ARHC|H9|RHOH9	1	homolog	ras
390	9606	RND3	ARHE|Rho8|RhoE|memB	2	family	Rho
391	9606	RHOG	ARHG	11	homolog	ras
392	9606	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	11	GTPase	Rho
393	9606	ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	X	GTPase	Rho
394	9606	ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	14	GTPase	Rho
395	9606	ARHGAP6	RHOGAP6|RHOGAPX-1	X	GTPase	Rho
396	9606	ARHGDIA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	17	GDP	Rho
397	9606	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	12	GDP	Rho
398	9606	ARHGDIG	RHOGDI-3	16	GDP	Rho
399	9606	RHOH	ARHH|TTF	4	homolog	ras
400	9606	ARL1	ARFL1	12	factor-like	ADP-ribosylation
401	9606	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	11	homeobox	paired-like
402	9606	ARL2	ARFL2	11	factor-like	ADP-ribosylation
403	9606	ARL3	ARFL3	10	factor-like	ADP-ribosylation
